paper_id,Synthesis_Method,Chitosan_Conc_mgmL,Chitosan_MW_kDa,Chitosan_DD_percent,Cobalt_Source,Cobalt_Conc_mM,pH,Temperature_C,Time_hr,Stirring_Speed_rpm,Crosslinker/TPP_Used,Crosslinker_Conc_mM,Ultrasonication,Ultrasonication_Details,Solvent,Ionic_Strength_mM,Particle_Size_nm,Size_SD_nm,PDI,Zeta_Potential_mV
1,Co-precipitation,10,150,85,CoCl2.6H2O,18.9,11,80,2,500,No,0,Yes,Not specified,Deionized Water,470,16.64,3,0.3,32
2,Polyol,5,200,90,Cobalt sulfate heptahydrate,70,11,190,4,150,Yes,200,No,Not Applicable,Acetic Acid,100,25.68,4.02,0.3,25
3,Template-assisted precipitation,31.25,150,85,CoCl2.6H2O,166.7,11,30,2,500,No,0,Yes,"35 kHz, 30 min",5% Acetic acid,2480,6,1.5,0.2,-20
4,Freeze-drying/Pyrolysis,20,300,90,Cobalt nitrate hexahydrate,8.5,3,550,3,300,No,0,Yes,Dispersed g-C3N4 in water for 2h,2% Acetic Acid,25.5,8,3,0.3,-5
5,Chemical / Anchoring,10,200,85,Cobalt(II) nitrate,16.4,9,78,20,400,Epichlorohydrin,NA,Yes,"Homogenization, 30-40 min",Ethanol,49.2,45,5,0.35,25
6,Green,5,200,85,Cobalt chloride hexahydrate,10,6.5,28,24,150,No,0,No,Not Applicable,Water (Fungal Filtrate),50,24,2.6,0.4,-22
7,Microwave-assisted co-precipitation,10,150,85,CoCl2.6H2O,50.44,11,70,1.5,500,No,0,No,Not Applicable,Deionized Water,3000,45,10,0.4,25
8,Chemical / Multi-step,0.01,200,90,Cobalt (II) acetate,0.141,7,100,24,400,Yes,504,Yes,Dispersion (15-20 min),Acetic Acid / Water,0,45,25.6,0.4,20
9,Solvothermal,50,150,85,Co(NO3)2.6H2O,55,9,250,13,500,No,0,No,Not Applicable,Ethylene glycol,1751,100,20,0.3,25
10,Radiation Grafting,10,130,90,CoCl₂ (analyte),1.7,4,25,1.04,0,No,0,No,Not Applicable,1% Acetic Acid,50,200,50,0.4,-15
11,Hydrothermal/In-situ,9,150,80,Cobalt (II) nitrate hexahydrate,1.17,12,140,20,400,No,0,No,Not Applicable,Acetic acid (aq) / Methanol,137,100,20,0.35,-15
12,Co-precipitation,20,200,90,CoCl₂·6H₂O,50,12,80,1,400,No,0,Yes,Not specified,Acetic Acid,500,5.5,1,0.21,42
13,Co-precipitation,20,150,85,CoCl₂·6H₂O,200,11,90,1,500,No,0,Yes,10 min sonication alternated with 10 min vortexing,Acetic Acid,500,10,3,0.272,35
14,Glycol-thermal,5,150,75,Cobalt Acetate ,100,4.8,60,18,300,No,0,Yes,1 hour at 60°C,Acetic Acid,20,11,2,0.3,30
15,Co-precipitation and Calcination,0.2,150,85,CoCl₂·6H₂O,500,3,600,2,1000,No,0,Yes,"Bath sonication, 60% power, 30 min",1% Acetic Acid,100,20,4,0.3,35
16,Solvent Casting,50,150,85,CoCl2.H2O,50,3.5,25,2,500,No,0,No,Not Applicable,Acetic Acid / DMSO,150,41,8,0.4,28
17,Microwave-assisted co-precipitation,10,150,85,CoCl₂·6H₂O,100,13,25,1,500,No,0,Yes,Details not reported,Deionized Water,500,30,5,0.3,20
18,Chemical Precipitation/Gelation,20,150,85,CoCl2.6H2O,8.41,13,25,3,150,No,0,No,Not Applicable,1% Acetic Acid,52,50,10,0.4,25
19,Ionotropic gelation,5,60,91,Cobalt acetate,5.65,7,100,12,400,Yes,20.1,No,Not Applicable,1% Acetic Acid,301.5,44.5,9.75,0.4,35
20,Co-precipitation,10,200,80,CoCl₂,100,10,70,2,500,No,0,Yes,"110 W, 40 min",Deionized water,100,100,20,0.3,15
21,Chemical Precipitation/Gelation,30,150,85,Cobalt sulfate heptahydrate,57,8,60,12,500,No,0,No,Not Applicable,2% Acetic Acid,100,100,10,0.4,25
22,Hydrothermal,2,100,85,Cobalt chloride,362,12.5,180,3,400,Yes,61,No,Not Applicable,Acetic Acid / Water,500,8.08,2.5,0.2,-15
23,Co-precipitation / Ionic Crosslinking,10,150,85,CoSO4·6H2O,100,10.5,80,4,500,"Yes, AlCl3",200,Yes,10 min,Deionized Water / Acetic Acid,1200,30,8,0.4,25
24,Cross-linking/Grafting,19.7,77,90.3,CoCl₂·6H₂O,2.95,7,25,1,150,Yes,249.7,No,Not Applicable,Acetic Acid,10,23,4,0.4,-15
25,Co-precipitation,10,150,85,CoCl2.6H2O,33,12.5,85,2,500,No,0,No,Not Applicable,Aqueous / 1% Acetic Acid ,500,171.3,25,0.14,35
