Synthesis_Method,Chitosan_Conc_mgmL,Chitosan_MW_kDa,Chitosan_DD_percent,Cobalt_Source,Cobalt_Conc_mM,pH,Temperature_C,Time_hr,Stirring_Speed_rpm,Crosslinker/TPP_Used,Crosslinker_Conc_mM,Ultrasonication,Ultrasonication_Details,Solvent,Ionic_Strength_mM,Particle_Size_nm,Size_SD_nm,PDI,Zeta_Potential_mV,Solvent_polarity_index,Co_to_CS_ratio,CS_charge_index,pHpKa_diff,Energy_proxy
10.0,10.0,150.0,85.0,27.0,18.9,11.0,80.0,2.0,500.0,2.0,0.0,1.0,28.0,20.0,470.0,16.64,3.0,0.3,32.0,9.0,1.8899999998109998,0.0016959391292892154,4.7,160.0
35.0,5.0,200.0,90.0,19.0,70.0,11.0,120.0,4.0,150.0,3.0,100.0,0.0,27.0,11.0,100.0,25.68,4.02,0.3,25.0,0.0,13.9999999972,0.0017957002545415223,4.7,480.0
47.0,31.25,150.0,85.0,27.0,166.7,11.0,30.0,2.0,500.0,2.0,0.0,1.0,13.0,9.0,1000.0,6.0,1.5,0.2,-20.0,0.0,5.334399999829299,0.0016959391292892154,4.7,60.0
20.0,20.0,300.0,90.0,17.0,8.5,3.0,120.0,3.0,300.0,2.0,0.0,1.0,23.0,5.0,25.5,8.0,3.0,0.3,-5.0,0.0,0.42499999997875,89.95491574462676,-3.3,360.0
2.0,10.0,200.0,85.0,22.0,16.4,9.0,78.0,20.0,400.0,0.0,25.521896936433297,1.0,26.0,25.0,49.2,45.0,5.0,0.35,25.0,5.2,1.6399999998359998,0.1692595795119071,2.7,1560.0
23.0,5.0,200.0,85.0,15.0,10.0,6.5,28.0,24.0,150.0,2.0,0.0,0.0,27.0,35.0,50.0,24.0,2.6,0.4,-22.0,9.0,1.9999999996,32.88337028698284,0.20000000000000018,672.0
32.0,10.0,150.0,85.0,27.0,50.44,11.0,70.0,1.5,500.0,2.0,0.0,0.0,27.0,20.0,1000.0,45.0,10.0,0.4,25.0,9.0,5.0439999994955995,0.0016959391292892154,4.7,105.0
4.0,0.05,200.0,90.0,9.0,0.141,7.0,100.0,24.0,400.0,3.0,100.0,1.0,25.0,17.0,0.0,45.0,25.6,0.4,20.0,9.0,2.819999943600001,14.970377773490567,0.7000000000000002,2400.0
43.0,50.0,150.0,85.0,5.0,55.0,9.0,120.0,13.0,500.0,2.0,0.0,0.0,27.0,26.0,1000.0,100.0,20.0,0.3,25.0,0.0,1.0999999999780001,0.1692595795119071,2.7,1560.0
37.0,10.0,130.0,90.0,31.0,1.7,4.0,25.0,1.04,0.0,2.0,0.0,0.0,27.0,1.0,50.0,200.0,50.0,0.4,-15.0,0.0,0.169999999983,89.55118091369809,-2.3,26.0
26.0,9.0,150.0,80.0,10.0,1.17,12.0,120.0,20.0,400.0,2.0,0.0,0.0,27.0,12.0,137.0,100.0,20.0,0.35,-15.0,5.1,0.12999999998555556,0.00015962066671240934,5.7,2400.0
10.0,20.0,200.0,90.0,33.0,50.0,12.0,80.0,1.0,400.0,2.0,0.0,1.0,28.0,11.0,500.0,5.5,1.0,0.21,42.0,0.0,2.499999999875,0.0001795732500514605,5.7,80.0
10.0,20.0,150.0,85.0,33.0,200.0,11.0,90.0,1.0,500.0,2.0,0.0,1.0,4.0,11.0,500.0,10.0,3.0,0.272,35.0,0.0,9.9999999995,0.0016959391292892154,4.7,90.0
21.0,5.0,150.0,75.0,11.0,100.0,4.8,60.0,18.0,300.0,2.0,0.0,1.0,1.0,11.0,20.0,11.0,2.0,0.3,30.0,0.0,19.999999996,72.70099274762133,-1.5,1080.0
12.0,0.2,150.0,85.0,33.0,300.0,3.0,120.0,2.0,1000.0,2.0,0.0,1.0,20.0,1.0,100.0,20.0,4.0,0.3,35.0,0.0,1499.9999925,84.95742042548083,-3.3,240.0
42.0,50.0,150.0,85.0,28.0,50.0,3.5,25.0,2.0,500.0,2.0,0.0,0.0,27.0,14.0,150.0,41.0,8.0,0.4,28.0,7.2,0.9999999999800001,84.86549725113184,-2.8,50.0
32.0,10.0,150.0,85.0,33.0,100.0,13.0,25.0,1.0,500.0,2.0,0.0,1.0,22.0,20.0,500.0,30.0,5.0,0.3,20.0,9.0,9.999999999,1.6959726293325193e-05,6.7,25.0
8.0,20.0,150.0,85.0,27.0,8.41,13.0,25.0,3.0,150.0,2.0,0.0,0.0,27.0,1.0,52.0,50.0,10.0,0.4,25.0,0.0,0.420499999978975,1.6959726293325193e-05,6.7,75.0
28.0,5.0,60.0,91.0,11.0,5.65,7.0,100.0,12.0,400.0,3.0,20.1,0.0,27.0,1.0,301.5,44.5,9.75,0.4,35.0,0.0,1.129999999774,15.13671530430713,0.7000000000000002,1200.0
10.0,10.0,200.0,80.0,30.0,100.0,10.0,70.0,2.0,500.0,2.0,0.0,1.0,6.0,20.0,100.0,100.0,20.0,0.3,15.0,9.0,9.999999999,0.015958914297722424,3.7,140.0
8.0,30.0,150.0,85.0,19.0,57.0,8.0,60.0,12.0,500.0,2.0,0.0,0.0,27.0,5.0,100.0,100.0,10.0,0.4,25.0,0.0,1.8999999999366666,1.6627958291692586,1.7000000000000002,720.0
25.0,2.0,100.0,85.0,13.0,300.0,12.5,120.0,3.0,400.0,3.0,61.0,0.0,27.0,17.0,500.0,8.08,2.5,0.2,-15.0,9.0,149.999999925,5.363134044172826e-05,6.2,360.0
11.0,10.0,150.0,85.0,36.0,100.0,10.5,80.0,4.0,500.0,6.0,100.0,1.0,2.0,21.0,1000.0,30.0,8.0,0.4,25.0,9.0,9.999999999,0.005362799058336357,4.2,320.0
13.0,19.7,77.0,90.3,33.0,2.95,7.0,25.0,1.0,150.0,3.0,100.0,0.0,27.0,11.0,10.0,23.0,4.0,0.4,-15.0,0.0,0.1497461928857997,15.020279032735536,0.7000000000000002,25.0
10.0,10.0,150.0,85.0,27.0,33.0,12.5,85.0,2.0,500.0,2.0,0.0,0.0,27.0,19.0,500.0,171.3,25.0,0.14,35.0,0.0,3.29999999967,5.363134044172826e-05,6.2,170.0
15.0,5.0,200.0,90.0,34.0,4.26,2.4,25.0,3.0,400.0,2.0,0.0,1.0,24.0,1.0,100.0,30.0,5.0,0.3,40.0,0.0,0.8519999998296,89.98867109751818,-3.9,75.0
10.0,20.0,150.0,95.0,27.0,50.0,10.0,80.0,1.0,600.0,2.0,0.0,1.0,17.0,18.0,150.0,6.5,2.0,0.3,30.0,0.0,2.499999999875,0.01895121072854538,3.7,80.0
25.0,50.0,200.0,90.0,7.0,4.0,6.5,120.0,24.0,300.0,3.0,50.0,1.0,9.0,36.0,150.0,200.0,30.0,0.3,-20.0,7.05,0.0799999999984,34.817686186217124,0.20000000000000018,2880.0
10.0,10.0,150.0,85.0,6.0,300.0,12.0,25.0,14.0,500.0,2.0,0.0,0.0,27.0,4.0,1000.0,3.0,1.0,0.4,40.0,0.0,29.999999997,0.00016959695838193492,5.7,350.0
18.0,2.0,250.0,85.0,33.0,10.0,7.0,25.0,4.0,200.0,3.0,20.0,0.0,27.0,32.0,100.0,100.0,20.0,0.4,-20.0,0.0,4.9999999975,14.138690119407757,0.7000000000000002,100.0
3.0,10.0,150.0,85.0,4.0,50.0,4.5,25.0,4.0,500.0,5.0,6.8,0.0,27.0,17.0,50.0,50.0,10.0,0.4,38.0,9.0,4.9999999995,83.67385870944449,-1.7999999999999998,100.0
10.0,10.0,150.0,85.0,6.0,50.0,9.75,40.0,1.0,700.0,2.0,0.0,0.0,27.0,33.0,750.0,15.0,4.0,0.4,25.0,9.0,4.9999999995,0.030148441014317507,3.45,40.0
41.0,0.2,18.8,94.0,26.0,0.064,6.5,25.0,1.0,300.0,2.0,0.0,0.0,27.0,20.0,10.0,250.0,50.0,0.4,15.0,9.0,0.3199999984,36.36513890560455,0.20000000000000018,25.0
31.0,25.0,200.0,85.0,7.0,10.15,9.0,25.0,4.0,300.0,2.0,0.0,0.0,27.0,9.0,500.0,8.0,2.0,0.3,-15.0,0.0,0.40599999998376,0.1692595795119071,2.7,100.0
