Synthesis_Method,Chitosan_Conc_mgmL,Chitosan_MW_kDa,Chitosan_DD_percent,Cobalt_Source,Cobalt_Conc_mM,pH,Temperature_C,Time_hr,Stirring_Speed_rpm,Crosslinker/TPP_Used,Crosslinker_Conc_mM,Ultrasonication,Ultrasonication_Details,Solvent,Ionic_Strength_mM,Particle_Size_nm,Size_SD_nm,PDI,Zeta_Potential_mV,Solvent_polarity_index,Co_to_CS_ratio,CS_charge_index,pHpKa_diff,Energy_proxy,size_score,pdi_score,zeta_score,Antimicrobial_Score
10.0,10.0,150.0,85.0,27.0,18.9,11.0,80.0,2.0,500.0,2.0,0.0,1.0,28.0,20.0,470.0,16.64,3.0,0.3,32.0,9.0,1.889999999811,0.0016959391292892,4.7,160.0,0.5820000000000001,1.0,1.0,0.8328
35.0,5.0,200.0,90.0,19.0,70.0,11.0,120.0,4.0,150.0,3.0,100.0,0.0,27.0,11.0,100.0,25.68,4.02,0.3,25.0,0.0,13.9999999972,0.0017957002545415,4.7,480.0,0.9864,1.0,0.85,0.94206
47.0,31.25,150.0,85.0,27.0,166.7,11.0,30.0,2.0,500.0,2.0,0.0,1.0,13.0,9.0,1000.0,6.0,1.5,0.2,-20.0,0.0,5.334399999829299,0.0016959391292892,4.7,60.0,0.5,1.0,1.0,0.8
20.0,20.0,300.0,90.0,17.0,8.5,3.0,120.0,3.0,300.0,2.0,0.0,1.0,23.0,5.0,25.5,8.0,3.0,0.3,-5.0,0.0,0.42499999997875,89.95491574462676,-3.3,360.0,0.5,1.0,0.25,0.5375
2.0,10.0,200.0,85.0,22.0,16.4,9.0,78.0,20.0,400.0,0.0,25.521896936433297,1.0,26.0,25.0,49.2,45.0,5.0,0.35,25.0,5.2,1.6399999998359998,0.1692595795119071,2.7,1560.0,0.6,0.75,0.85,0.725
23.0,5.0,200.0,85.0,15.0,10.0,6.5,28.0,24.0,150.0,2.0,0.0,0.0,27.0,35.0,50.0,24.0,2.6,0.4,-22.0,9.0,1.9999999996,32.88337028698284,0.2000000000000001,672.0,0.95,0.4999999999999999,0.6,0.715
32.0,10.0,150.0,85.0,27.0,50.44,11.0,70.0,1.5,500.0,2.0,0.0,0.0,27.0,20.0,1000.0,45.0,10.0,0.4,25.0,9.0,5.0439999994956,0.0016959391292892,4.7,105.0,0.6,0.4999999999999999,0.85,0.6625
4.0,0.05,200.0,90.0,9.0,0.141,7.0,100.0,24.0,400.0,3.0,100.0,1.0,25.0,17.0,0.0,45.0,25.6,0.4,20.0,9.0,2.819999943600001,14.970377773490569,0.7000000000000002,2400.0,0.6,0.4999999999999999,1.0,0.715
43.0,50.0,150.0,85.0,5.0,55.0,9.0,120.0,13.0,500.0,2.0,0.0,0.0,27.0,26.0,1000.0,100.0,20.0,0.3,25.0,0.0,1.099999999978,0.1692595795119071,2.7,1560.0,0.18393972058572117,1.0,0.85,0.6210758882342884
37.0,10.0,130.0,90.0,31.0,1.7,4.0,25.0,1.04,0.0,2.0,0.0,0.0,27.0,1.0,50.0,200.0,50.0,0.4,-15.0,0.0,0.169999999983,89.55118091369809,-2.3,26.0,0.024893534183931972,0.4999999999999999,0.75,0.3974574136735727
